Date,Year,Quarter,Month,MonthName,MonthYear,Day,Weekday,IsWeekend
2011-06-01,2011,2011Q2,6,June,Jun 2011,1,Wednesday,False
2011-06-02,2011,2011Q2,6,June,Jun 2011,2,Thursday,False
2011-06-03,2011,2011Q2,6,June,Jun 2011,3,Friday,False
2011-06-04,2011,2011Q2,6,June,Jun 2011,4,Saturday,True
2011-06-05,2011,2011Q2,6,June,Jun 2011,5,Sunday,True
2011-06-06,2011,2011Q2,6,June,Jun 2011,6,Monday,False
2011-06-07,2011,2011Q2,6,June,Jun 2011,7,Tuesday,False
2011-06-08,2011,2011Q2,6,June,Jun 2011,8,Wednesday,False
2011-06-09,2011,2011Q2,6,June,Jun 2011,9,Thursday,False
2011-06-10,2011,2011Q2,6,June,Jun 2011,10,Friday,False
2011-06-11,2011,2011Q2,6,June,Jun 2011,11,Saturday,True
2011-06-12,2011,2011Q2,6,June,Jun 2011,12,Sunday,True
2011-06-13,2011,2011Q2,6,June,Jun 2011,13,Monday,False
2011-06-14,2011,2011Q2,6,June,Jun 2011,14,Tuesday,False
2011-06-15,2011,2011Q2,6,June,Jun 2011,15,Wednesday,False
2011-06-16,2011,2011Q2,6,June,Jun 2011,16,Thursday,False
2011-06-17,2011,2011Q2,6,June,Jun 2011,17,Friday,False
2011-06-18,2011,2011Q2,6,June,Jun 2011,18,Saturday,True
2011-06-19,2011,2011Q2,6,June,Jun 2011,19,Sunday,True
2011-06-20,2011,2011Q2,6,June,Jun 2011,20,Monday,False
2011-06-21,2011,2011Q2,6,June,Jun 2011,21,Tuesday,False
2011-06-22,2011,2011Q2,6,June,Jun 2011,22,Wednesday,False
2011-06-23,2011,2011Q2,6,June,Jun 2011,23,Thursday,False
2011-06-24,2011,2011Q2,6,June,Jun 2011,24,Friday,False
2011-06-25,2011,2011Q2,6,June,Jun 2011,25,Saturday,True
2011-06-26,2011,2011Q2,6,June,Jun 2011,26,Sunday,True
2011-06-27,2011,2011Q2,6,June,Jun 2011,27,Monday,False
2011-06-28,2011,2011Q2,6,June,Jun 2011,28,Tuesday,False
